,"id","participant","IP","V4","field","meta","time"
"1","156","QWQ156H","69.129.125.196","meta","place","USA","Tue Oct 12 21:07:13 2010"
"2","156","QWQ156H","69.129.125.196","meta","soundlike","California","Tue Oct 12 21:07:13 2010"
"3","156","QWQ156H","69.129.125.196","meta","year","1976","Tue Oct 12 21:07:13 2010"
"4","156","QWQ156H","69.129.125.196","meta","sex","male","Tue Oct 12 21:07:13 2010"
"5","156","QWQ156H","69.129.125.196","meta","lang","None","Tue Oct 12 21:07:13 2010"
"6","156","QWQ156H","69.129.125.196","meta","sugg",,"Tue Oct 12 21:07:13 2010"
"7","157","QSK157C","24.61.62.111","meta","place","none","Tue Oct 12 21:11:04 2010"
"8","157","QSK157C","24.61.62.111","meta","soundlike","Boston","Tue Oct 12 21:11:04 2010"
"9","157","QSK157C","24.61.62.111","meta","year","1963","Tue Oct 12 21:11:04 2010"
"10","157","QSK157C","24.61.62.111","meta","sex","female","Tue Oct 12 21:11:04 2010"
"11","157","QSK157C","24.61.62.111","meta","lang","None","Tue Oct 12 21:11:04 2010"
"12","157","QSK157C","24.61.62.111","meta","sugg",,"Tue Oct 12 21:11:04 2010"
"13","159","QMN159Y","151.199.152.90","meta","place","USA","Tue Oct 12 21:24:52 2010"
"14","159","QMN159Y","151.199.152.90","meta","soundlike","Boston","Tue Oct 12 21:24:52 2010"
"15","159","QMN159Y","151.199.152.90","meta","year","1943","Tue Oct 12 21:24:52 2010"
"16","159","QMN159Y","151.199.152.90","meta","sex","male","Tue Oct 12 21:24:52 2010"
"17","159","QMN159Y","151.199.152.90","meta","lang","None","Tue Oct 12 21:24:52 2010"
"18","159","QMN159Y","151.199.152.90","meta","sugg",,"Tue Oct 12 21:24:52 2010"
"19","160","QDN160C","69.193.122.9","meta","place","USA","Tue Oct 12 21:13:24 2010"
"20","160","QDN160C","69.193.122.9","meta","soundlike","New York","Tue Oct 12 21:13:24 2010"
"21","160","QDN160C","69.193.122.9","meta","year","1947","Tue Oct 12 21:13:24 2010"
"22","160","QDN160C","69.193.122.9","meta","sex","male","Tue Oct 12 21:13:24 2010"
"23","160","QDN160C","69.193.122.9","meta","lang","none","Tue Oct 12 21:13:24 2010"
"24","160","QDN160C","69.193.122.9","meta","sugg",,"Tue Oct 12 21:13:24 2010"
"25","161","QQJ161O","50.10.17.123","meta","place","USA","Tue Oct 12 21:15:07 2010"
"26","161","QQJ161O","50.10.17.123","meta","soundlike","the South","Tue Oct 12 21:15:07 2010"
"27","161","QQJ161O","50.10.17.123","meta","year","1961","Tue Oct 12 21:15:07 2010"
"28","161","QQJ161O","50.10.17.123","meta","sex","female","Tue Oct 12 21:15:07 2010"
"29","161","QQJ161O","50.10.17.123","meta","lang","None","Tue Oct 12 21:15:07 2010"
"30","161","QQJ161O","50.10.17.123","meta","sugg",,"Tue Oct 12 21:15:07 2010"
"31","162","QST162A","64.77.215.58","meta","place","USA","Tue Oct 12 21:15:44 2010"
"32","162","QST162A","64.77.215.58","meta","soundlike","MINNESOTA ","Tue Oct 12 21:15:44 2010"
"33","162","QST162A","64.77.215.58","meta","year","1964","Tue Oct 12 21:15:44 2010"
"34","162","QST162A","64.77.215.58","meta","sex","female","Tue Oct 12 21:15:44 2010"
"35","162","QST162A","64.77.215.58","meta","lang","NONE","Tue Oct 12 21:15:44 2010"
"36","162","QST162A","64.77.215.58","meta","sugg",,"Tue Oct 12 21:15:44 2010"
"37","169","QID169N","205.219.133.1","meta","place","USA","Tue Oct 12 21:22:39 2010"
"38","169","QID169N","205.219.133.1","meta","soundlike","California","Tue Oct 12 21:22:39 2010"
"39","169","QID169N","205.219.133.1","meta","year","1991","Tue Oct 12 21:22:39 2010"
"40","169","QID169N","205.219.133.1","meta","sex","male","Tue Oct 12 21:22:39 2010"
"41","169","QID169N","205.219.133.1","meta","lang","Italian","Tue Oct 12 21:22:39 2010"
"42","169","QID169N","205.219.133.1","meta","sugg",,"Tue Oct 12 21:22:39 2010"
"43","170","QVG170V","174.57.179.0","meta","place","USA","Tue Oct 12 21:28:29 2010"
"44","170","QVG170V","174.57.179.0","meta","soundlike","East Coast, New England ","Tue Oct 12 21:28:29 2010"
"45","170","QVG170V","174.57.179.0","meta","year","1987","Tue Oct 12 21:28:29 2010"
"46","170","QVG170V","174.57.179.0","meta","sex","female","Tue Oct 12 21:28:29 2010"
"47","170","QVG170V","174.57.179.0","meta","lang",,"Tue Oct 12 21:28:29 2010"
"48","170","QVG170V","174.57.179.0","meta","sugg",,"Tue Oct 12 21:28:29 2010"
"49","172","QLA172B","70.173.129.19","meta","place","USA","Tue Oct 12 21:47:36 2010"
"50","172","QLA172B","70.173.129.19","meta","soundlike","West Coast, California","Tue Oct 12 21:47:36 2010"
"51","172","QLA172B","70.173.129.19","meta","year","1983","Tue Oct 12 21:47:36 2010"
"52","172","QLA172B","70.173.129.19","meta","sex","female","Tue Oct 12 21:47:36 2010"
"53","172","QLA172B","70.173.129.19","meta","lang","None","Tue Oct 12 21:47:36 2010"
"54","172","QLA172B","70.173.129.19","meta","sugg","I think I may have done a few of the questions wrong at the beginning, I wasn't quite clear on the instructions at first.        Thank You for giving me the opportunity to participate in your questionnaire!","Tue Oct 12 21:47:36 2010"
"55","173","QEW173F","75.171.58.35","meta","place","USA","Tue Oct 12 21:47:52 2010"
"56","173","QEW173F","75.171.58.35","meta","soundlike","arizona","Tue Oct 12 21:47:52 2010"
"57","173","QEW173F","75.171.58.35","meta","year",,"Tue Oct 12 21:47:52 2010"
