"","id","participant","IP","V4","field","meta","time"
"1","101","PQH101H","81.204.51.174","meta","place","USA","Sat Sep 18 10:41:47 2010"
"2","101","PQH101H","81.204.51.174","meta","soundlike","Michigan (Mid-West)","Sat Sep 18 10:41:47 2010"
"3","101","PQH101H","81.204.51.174","meta","year","1983","Sat Sep 18 10:41:47 2010"
"4","101","PQH101H","81.204.51.174","meta","sex","male","Sat Sep 18 10:41:47 2010"
"5","101","PQH101H","81.204.51.174","meta","lang","German, Dutch","Sat Sep 18 10:41:47 2010"
"6","101","PQH101H","81.204.51.174","meta","sugg","","Sat Sep 18 10:41:47 2010"
"7","105","PNV105I","68.159.186.56","meta","place","USA","Sat Sep 18 11:11:01 2010"
"8","105","PNV105I","68.159.186.56","meta","soundlike","Alabama","Sat Sep 18 11:11:01 2010"
"9","105","PNV105I","68.159.186.56","meta","year","1983","Sat Sep 18 11:11:01 2010"
"10","105","PNV105I","68.159.186.56","meta","sex","female","Sat Sep 18 11:11:01 2010"
"11","105","PNV105I","68.159.186.56","meta","lang","Spanish","Sat Sep 18 11:11:01 2010"
"12","105","PNV105I","68.159.186.56","meta","sugg","","Sat Sep 18 11:11:01 2010"
"13","108","PVN108Q","220.255.7.246","meta","place","USA","Sat Sep 18 11:15:32 2010"
"14","108","PVN108Q","220.255.7.246","meta","soundlike","New York","Sat Sep 18 11:15:32 2010"
"15","108","PVN108Q","220.255.7.246","meta","year","1992","Sat Sep 18 11:15:32 2010"
"16","108","PVN108Q","220.255.7.246","meta","sex","male","Sat Sep 18 11:15:32 2010"
"17","108","PVN108Q","220.255.7.246","meta","lang","Chinese","Sat Sep 18 11:15:32 2010"
"18","108","PVN108Q","220.255.7.246","meta","sugg","","Sat Sep 18 11:15:32 2010"
"19","109","PQA109Y","72.183.43.113","meta","place","USA","Sat Sep 18 11:43:49 2010"
"20","109","PQA109Y","72.183.43.113","meta","soundlike","Texas, I suppose.","Sat Sep 18 11:43:49 2010"
"21","109","PQA109Y","72.183.43.113","meta","year","","Sat Sep 18 11:43:49 2010"
"22","109","PQA109Y","72.183.43.113","meta","sex","female","Sat Sep 18 11:43:49 2010"
"23","109","PQA109Y","72.183.43.113","meta","lang","none, fluently.","Sat Sep 18 11:43:49 2010"
"24","109","PQA109Y","72.183.43.113","meta","sugg","","Sat Sep 18 11:43:49 2010"
"25","110","PDY110J","99.101.27.225","meta","place","none","Sat Sep 18 11:50:50 2010"
"26","110","PDY110J","99.101.27.225","meta","soundlike","","Sat Sep 18 11:50:50 2010"
"27","110","PDY110J","99.101.27.225","meta","year","none","Sat Sep 18 11:50:50 2010"
"28","110","PDY110J","99.101.27.225","meta","sex","none","Sat Sep 18 11:50:50 2010"
"29","110","PDY110J","99.101.27.225","meta","lang","None","Sat Sep 18 11:50:50 2010"
"30","110","PDY110J","99.101.27.225","meta","sugg","","Sat Sep 18 11:50:50 2010"
