,"participant.perception","participant.id","participant.code","participant.created_at","updated_at","participant.training_group","experiment_phase","display_order","paradigm.consonant","paradigm.vowel","paradigm.stress","paradigm.human_singular","singular_play_count","paradigm.human_plural","plural_play_count","plural_response","both_responses","participant.year_born","participant.language_background","participant.comments","participant.other_languages","participant.native","participant.gender","pl.exists","consonant","shape","response","devoiced","voiced","group","match","opposite","IPA"
"1","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:45:44","mono","learning",1,"t","i","mono","vit",1,"vidni",1,,"false",1967,"Tennessee",,"None","true","Female","FALSE","t","mono",,,0,"mono","FALSE","FALSE","vit"
"2","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:45:51","mono","learning",2,"t","o","mono","zot",1,"zodni",1,,"false",1967,"Tennessee",,"None","true","Female","FALSE","t","mono",,,0,"mono","FALSE","FALSE","zot"
"3","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:45:55","mono","learning",3,"p","u","mono","chup",1,"chubni",1,,"false",1967,"Tennessee",,"None","true","Female","FALSE","p","mono",,,0,"mono","FALSE","FALSE","ʧup"
"4","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:46:01","mono","learning",4,"p","e","mono","flep",1,"flebni",1,,"false",1967,"Tennessee",,"None","true","Female","FALSE","p","mono",,,0,"mono","FALSE","FALSE","flep"
"5","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:46:06","mono","learning",5,"t","e","mono","dret",1,"dredni",1,,"false",1967,"Tennessee",,"None","true","Female","FALSE","t","mono",,,0,"mono","FALSE","FALSE","dret"
"6","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:46:10","mono","learning",6,"l","a","mono","fral",1,"fralni",1,,"false",1967,"Tennessee",,"None","true","Female","FALSE","W","mono",,,0,"mono","FALSE","FALSE","fral"
"7","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:46:14","mono","learning",7,"m","u","mono","fum",1,"fumni",1,,"false",1967,"Tennessee",,"None","true","Female","FALSE","W","mono",,,0,"mono","FALSE","FALSE","fum"
"8","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:46:46","mono","learning",8,"p","x","mono","gaip",1,"gaibni",3,"gaibni","true",1967,"Tennessee",,"None","true","Female","TRUE","p","mono","b","p",1,"mono","TRUE","FALSE","ɡaɪp"
"9","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:47:03","mono","learning",9,"k","a","mono","strak",1,"stragni",2,"stragni","true",1967,"Tennessee",,"None","true","Female","TRUE","k","mono","g","k",1,"mono","TRUE","FALSE","strak"
"10","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:47:34","mono","learning",10,"r","i","iamb","g-vir",1,"g-virni",2,"g-virni","true",1967,"Tennessee",,"None","true","Female","TRUE","W","iamb","W","W",0,"mono","TRUE","TRUE","ɡəvir"
"11","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:47:43","mono","learning",11,"k","o","mono","prok",1,"progni",1,"progni","true",1967,"Tennessee",,"None","true","Female","TRUE","k","mono","g","k",1,"mono","TRUE","FALSE","prok"
"12","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:47:53","mono","learning",12,"p","o","mono","bop",1,"bobni",1,"bobni","true",1967,"Tennessee",,"None","true","Female","TRUE","p","mono","b","p",1,"mono","TRUE","FALSE","bop"
"13","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:48:08","mono","learning",13,"r","a","iamb","p-klar",1,"p-klarni",1,"p-klarni","true",1967,"Tennessee",,"None","true","Female","TRUE","W","iamb","W","W",0,"mono","TRUE","TRUE","pəklar"
"14","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:48:19","mono","learning",14,"m","a","iamb","k-jam",1,"k-jamni",1,"k-jamni","true",1967,"Tennessee",,"None","true","Female","TRUE","W","iamb","W","W",0,"mono","TRUE","TRUE","kəʤam"
"15","larvid","457","IJN456","2011-03-25 22:44:38","2011-03-25 22:48:33","mono","learning",15,"k","o","mono","dok",1,"dogni",2,"dogni","true",1967,"Tennessee",,"None","true","Female","TRUE","k","mono","g","k",1,"mono","TRUE","FALSE","dok"
