"","X","X.2","X.1","participant.perception","participant.id","participant.code","participant.created_at","updated_at","participant.experiment_type.to_s.downcase","participant.training_group","experiment_phase","display_order","paradigm.consonant","paradigm.vowel","paradigm.stress","paradigm.human_singular","singular_play_count","paradigm.human_plural","plural_play_count","plural_response","both_responses","participant.year_born","participant.language_background","participant.comments","participant.other_languages","participant.native","participant.gender","pl.exists","shape","vowel","group","IPA","responseV","mapping","success","response2","responseMatch","responseShapeMatch","success2"
"1",1,323,3521,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:13:27 UTC","fixed","iamb","learning",1,NA,"a","trochee","bal-d",1,"bal-dni",1,"","false",1991,"Southern United States","","A bit of German.","true","Male",FALSE,"trochee","a","iamb","baləd","","a",FALSE,"","",FALSE,FALSE
"2",2,324,3522,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:13:34 UTC","fixed","iamb","learning",2,NA,"a","trochee","rask-sh",1,"rask-shni",1,"","false",1991,"Southern United States","","A bit of German.","true","Male",FALSE,"trochee","a","iamb","raskəsh","","a",FALSE,"","",FALSE,FALSE
"3",3,325,3523,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:13:40 UTC","fixed","iamb","learning",3,NA,"e","iamb","t-gep",1,"t-gop",1,"","false",1991,"Southern United States","","A bit of German.","true","Male",FALSE,"iamb","e","iamb","təgep","","e",FALSE,"","",FALSE,FALSE
"4",4,326,3524,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:13:51 UTC","fixed","iamb","learning",4,NA,"a","iamb","l-taf",1,"l-tafni",1,"","false",1991,"Southern United States","","A bit of German.","true","Male",FALSE,"iamb","a","iamb","lətaf","","a",FALSE,"","",FALSE,FALSE
"5",5,327,3525,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:14:00 UTC","fixed","iamb","learning",5,NA,"u","iamb","ch-mum",1,"ch-mim",1,"","false",1991,"Southern United States","","A bit of German.","true","Male",FALSE,"iamb","u","iamb","chəmum","","u",FALSE,"","",FALSE,FALSE
"6",6,328,3526,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:14:04 UTC","fixed","iamb","learning",6,NA,"u","iamb","pl-sum",1,"pl-sim",1,"","false",1991,"Southern United States","","A bit of German.","true","Male",FALSE,"iamb","u","iamb","pləsum","","u",FALSE,"","",FALSE,FALSE
"7",7,329,3527,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:14:09 UTC","fixed","iamb","learning",7,NA,"a","trochee","taz-p",1,"taz-pni",1,"","false",1991,"Southern United States","","A bit of German.","true","Male",FALSE,"trochee","a","iamb","tazəp","","a",FALSE,"","",FALSE,FALSE
"8",8,330,3528,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:14:14 UTC","fixed","iamb","learning",8,NA,"u","iamb","p-dul",1,"p-dil",1,"","false",1991,"Southern United States","","A bit of German.","true","Male",FALSE,"iamb","u","iamb","pədul","","u",FALSE,"","",FALSE,FALSE
"9",9,331,3529,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:14:23 UTC","fixed","iamb","learning",9,NA,"e","iamb","tr-mel",1,"tr-mol",1,"tr-mol","true",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"iamb","e","iamb","trəmel","o","eo",TRUE,"-o","iamb",TRUE,TRUE
"10",10,332,3530,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:14:32 UTC","fixed","iamb","learning",10,NA,"e","iamb","k-zem",1,"k-zom",1,"k-zom","true",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"iamb","e","iamb","kəzem","o","eo",TRUE,"-o","iamb",TRUE,TRUE
