"singular","IP","experimentName","group","picture","response0","see_pl","see_sg","sound1","sound2","time","trialnumber","userCode","userFileName","view","pl.exists","remove","plural","vowel","shape","IPA","responseV","mapping","success","response2","responseMatch","responseShapeMatch","success2"
"b-chuk","12.28.192.38","fixed4b01","trochee","boat","nib-tuk","false","false",7,NA,2011-11-01 17:34:05,35,"ZIX30 12.28.192.38",30,"test.ejs",TRUE,FALSE,"b-chik","u","iamb","bəʧuk","u","uu",FALSE,"-u","iamb",TRUE,FALSE
"b-chuk","69.133.116.105","fixed4b01","iamb","elmo","nib-chuk","false","true",1,NA,2011-11-01 15:00:19,34,"ZBH15 69.133.116.105",15,"test.ejs",TRUE,FALSE,"b-chik","u","iamb","bəʧuk","u","uu",FALSE,"-u","iamb",TRUE,FALSE
"b-chuk","66.168.81.24","fixed4b01","trochee","bed","a-chi","false","false",3,NA,2011-11-02 14:53:10,47,"VPI107 66.168.81.24",107,"test.ejs",TRUE,FALSE,"b-chik","u","iamb","bəʧuk","","u",FALSE,"","",FALSE,FALSE
"b-chuk","76.179.18.106","fixed4b01","iamb","lantern","b-chik","false","true",1,NA,2011-11-01 14:26:19,20,"PYK11 76.179.18.106",11,"test.ejs",TRUE,FALSE,"b-chik","u","iamb","bəʧuk","i","ui",TRUE,"-i","iamb",TRUE,TRUE
"b-chuk","99.26.140.227","fixed4b01","trochee","puppy","nib-chuk","false","true",1,NA,2011-11-01 16:33:56,23,"TKP17 99.26.140.227",17,"test.ejs",TRUE,FALSE,"b-chik","u","iamb","bəʧuk","u","uu",FALSE,"-u","iamb",TRUE,FALSE
"b-chuk","70.174.173.33","fixed4b01","iamb","frog","b-chik","false","true",1,NA,2011-11-02 05:11:33,25,"IJO73 70.174.173.33",73,"test.ejs",TRUE,FALSE,"b-chik","u","iamb","bəʧuk","i","ui",TRUE,"-i","iamb",TRUE,TRUE
"b-chuk","74.141.100.247","fixed4b01","trochee","glasses","nib-juk","false","false",1,NA,2011-11-01 17:33:45,36,"GCH35 74.141.100.247",35,"test.ejs",TRUE,FALSE,"b-chik","u","iamb","bəʧuk","u","uu",FALSE,"-u","iamb",TRUE,FALSE
"b-chuk","108.2.82.178","fixed4b01","iamb","damsel","b-chik","false","true",2,1,2011-11-02 09:06:13,16,"XGH91 108.2.82.178",91,"train.ejs",TRUE,FALSE,"b-chik","u","iamb","bəʧuk","i","ui",TRUE,"-i","iamb",TRUE,TRUE
"b-chuk","189.34.55.57","fixed4b01","iamb","gift","b-chik","false","true",1,NA,2011-11-02 04:59:16,28,"BFY71 189.34.55.57",71,"test.ejs",TRUE,FALSE,"b-chik","u","iamb","bəʧuk","i","ui",TRUE,"-i","iamb",TRUE,TRUE
"b-chuk","24.179.68.128","fixed4b01","iamb","clown","b-chok","false","true",1,NA,2011-11-02 12:14:59,21,"TPT97 24.179.68.128",97,"test.ejs",TRUE,FALSE,"b-chik","u","iamb","bəʧuk","o","uo",FALSE,"-o","iamb",TRUE,FALSE
