"IP","experimentName","lang","place","sex","soundlike","sugg","time","userCode","userFileName","year"
"122.203.92.186","fixed4b01","German‚ Spanish‚ Guarani‚ Hindi","USA","male","Canada","","Tue Nov  1 19:55:25 2011","EPS59 122.203.92.186",59,1982
"173.70.86.63","fixed4b01","None","USA","female","Midwest","","Tue Nov  1 19:55:26 2011","HZB59 173.70.86.63",59,1985
"200.88.227.64","fixed4b01","Spanish","USA","male","Florida","","Tue Nov  1 18:14:38 2011","FBT37 200.88.227.64",37,1987
"189.34.55.57","fixed4b01","Spanish","USA","male","Colorado","","Wed Nov  2 05:04:12 2011","BFY71 189.34.55.57",71,1987
"50.13.201.36","fixed4b01","a little Spanish","USA","female","New York","Wow! That was 'stimulating'. I enjoyed it.","Tue Nov  1 20:36:59 2011","WYQ66 50.13.201.36",66,1967
"68.111.84.165","fixed4b01","N/A","USA","male","West Coast‚ New England","","Tue Nov  1 20:11:20 2011","JFZ62 68.111.84.165",62,1987
"24.255.35.67","fixed4b01","Mandarin Chinese","USA","male","Arizona","","Wed Nov  2 14:39:54 2011","NVU105 24.255.35.67",105,1983
"173.202.69.87","fixed4b01","German‚ French‚ Latin","USA","male","Arkansas","","Wed Nov  2 14:18:20 2011","VPX101 173.202.69.87",101,1981
"68.225.214.181","fixed4b01","French","USA","female","Canada","none","Tue Nov  1 19:47:07 2011","XPH54 68.225.214.181",54,1974
"66.212.221.41","fixed4b01","French","USA","female","New England","Wow!  That may have been the most creative survey ever!  It was very difficult though‚ and I am sure I did not do very well at all‚ but it was definitely fun.  Thank You!","Tue Nov  1 19:58:29 2011","PXS54 66.212.221.41",54,1971
"71.12.171.84","fixed4b01","Spanish","USA","male","The South","","Tue Nov  1 19:20:47 2011","RAL51 71.12.171.84",51,1986
"67.41.99.209","fixed4b01","Spanish","USA","female","Texas","","Wed Nov  2 15:04:15 2011","KAR111 67.41.99.209",111,1988
"173.162.212.50","fixed4b01","None","USA","male","New England","","Wed Nov  2 09:08:19 2011","CBC90 173.162.212.50",90,1979
"64.134.228.2","fixed4b01","Spanish‚ Basque","USA","male","California","I liked the language‚ it sounded a little bit like my ancestors language 'Basque' or 'Euskera'","Tue Nov  1 17:21:53 2011","BAK32 64.134.228.2",32,1983
"68.190.54.152","fixed4b01","none","USA","female","New York","","Tue Nov  1 18:27:02 2011","RDO43 68.190.54.152",43,1962
