Word	singular_phonetic	plural_word	plural_phonetic_1	plural_phonetic_2
bath	bæθ	baths	bæθs	
nymph	nɪmf	nymphs	nɪmfs	
aftermath	æftɹ̩mæθ	aftermaths	æftɹ̩mæθs	
absinth	æbsɪnθ	absinths	æbsɪnθs	
berth	bɹ̩θ	berths	bɹ̩θs	
oaf	ɑf	oafs	ɑfs	
azimuth	æzɪmuθ	azimuths	æzɪmʌθs	
bluff	blʌf	bluffs	blʌfs	
oath	oʊθ	oaths	oʊðz	oʊθs
belief	bɪlif	beliefs	bɪlifs	
bailiff	beɪləf	bailiffs	beɪləfs	
booth	buθ	booths	buθs	buðz
path	pæθ	paths	pæθs	pæðz
blacksmith	blæksmɪθ	blacksmiths	blæksmɪθs	
Behemoth	bəhiməθ	Behemoths	bɪhiməθs	
breath	bɹɛθ	breaths	bɹɛθs	
prof	pɹɑf	profs	pɹɑfs	
carafe	kæɹeɪf	carafes	kæɹeɪfs	
billionth	bɪljənθ	billionths	bɪljənθs	
brief	bɹif	briefs	bɹifs	
proof	pɹuf	proofs	pɹufs	
castoff	kæstɔf	castoffs	kæstɔfs	
caliph	kæləf	caliphs	kælɪfs	
broth	bɹɔθ	broths	bɹɔθs	
puff	pʌf	puffs	pʌfs	
coelacanth	siləkænθ	coelacanths	koʊələkænθs	
eightieth	eɪtiɪθ	eightieths	eɪtiɪθs	
calf	kæf	calves	kævz	
quaff	kwæf	quaffs	kwæfs	
earmuff	ɪɹməf	earmuffs	ɪɹmʌfs	
goliath	ɡəlaɪəθ	goliaths	ɡoʊliæθs	
chef	ʃɛf	chefs	ʃɛfs	
reef	ɹif	reefs	ɹifs	
eighteenth	eɪtinθ	eighteenths	eɪtinθs	
hieroglyph	haɪɹəɡlɪf	hieroglyphs	haɪɹəɡlifs	
chief	t͡ʃif	chiefs	t͡ʃifs	
ref	ɹɛf	refs	ɹɛfs	
epitaph	ɛpətæf	epitaphs	ɛpətæfs	
hyacinth	haɪəsɪnθ	hyacinths	haɪəsɪnθs	
clef	klɛf	clefs	klɛfs	
roof	ɹuf	roofs	ɹufs	ruvz
giraffe	d͡ʒɹ̩æf	giraffes	d͡ʒɹ̩æfs	
kerchief	kɹ̩t͡ʃəf	kerchiefs	kɹ̩t͡ʃəfs	
cliff	klɪf	cliffs	klɪfs	
safe	seɪf	safes	seɪfs	
handcuff	hændkʌf	handcuffs	hændkʌfs	
mammoth	mæməθ	mammoths	mæməθs	
cloth	klɔθ	cloths	klɔθs	
scarf	skɑɹf	scarves	skɑɹvs	skɑɹfs
midriff	mɪdɹəf	midriffs	mɪdɹɪfs	
mastiff	mæstəf	mastiffs	mæstəfs	
cough	kɑf	coughs	kɔfs	
self	sɛlf	selfs	sɛlfs	
motif	moʊtif	motifs	moʊtifs	
monolith	mɑnəlɪθ	monoliths	mɑnəlɪθs	
cuff	kʌf	cuffs	kʌfs	
serf	sɹ̩f	serfs	sɹ̩fs	
paragraph	pæɹəɡɹæf	paragraphs	pæɹəɡɹæfs	
plaintiff	pleɪntəf	plaintiffs	pleɪntɪfs	
death	dɛθ	deaths	dɛθs	
sheaf	ʃif	sheafs	ʃifs	
pilaf	pɪlæf	pilafs	pɪlæfs	
pontiff	pɑntəf	pontiffs	pɑntəfs	
dwarf	dwɔɹf	dwarves	dwɔɹvz	
sheath	ʃiθ	sheaths	ʃiθs	
polymath	pɑlɪməθ	polymaths	pɑlɪmæθs	
Sabbath	sæbəθ	Sabbaths	sæbəθs	
earth	ɹ̩θ	earths	ɹ̩θs	
shelf	ʃɛlf	shelves	ʃɛlvz	
psychopath	saɪkoʊpæθ	psychopaths	saɪkoʊpæθs	
seraph	sɹ̩æf	seraphs	sɹ̩æfs	
elf	ɛlf	elves	ɛlvz	
skiff	skɪf	skiffs	skɪfs	
relief	ɹɪlif	reliefs	ɹilifs	
