item	voice	shape	IPA
bafe	5.681818	mono	ˈbeɪf
beeth	5.000000	mono	ˈbiθ
bilth	4.235294	mono	ˈbɪlθ
brelowth	5.043478	iamb	bɹəˈloʊθ
brife	5.571429	mono	ˈbɹaɪf
brunlif	4.000000	trochee	ˈbɹʌnləf
bunf	4.482759	mono	ˈbʌnf
buwalf	4.875000	iamb	bəˈwælf
chiddif	3.900000	trochee	ˈtʃɪdəf
choath	4.892857	mono	ˈtʃoʊθ
chyth	5.208333	mono	ˈtʃaɪθ
cloof	5.060606	mono	ˈklʊf
craedef	4.969697	trochee	ˈkɹeɪdəf
dackelth	4.681818	iamb	dəˈkɛlθ
deef	6.058824	mono	ˈdif
dipyth	4.592593	iamb	dəˈpaɪθ
doath	5.434783	mono	ˈdoʊθ
doof	3.416667	mono	ˈduf
dweeth	5.263158	mono	ˈdwiθ
fiddith	2.620690	trochee	ˈfɪdəθ
flodaf	4.440000	trochee	ˈfloʊdəf
genurth	4.240000	iamb	gəˈnɝθ
gleef	5.187500	mono	ˈglif
glersif	4.208333	trochee	ˈglɝsəf
glinof	4.615385	iamb	gləˈnɑf
hareeth	4.590909	iamb	həˈɹiθ
hibof	4.789474	iamb	həˈbɑf
hilayth	5.205882	iamb	həˈleɪθ
hissyth	4.250000	iamb	həˈsaɪθ
hockith	2.962963	trochee	ˈhɑkəθ
hooth	5.285714	mono	ˈhuθ
hylith	3.903226	trochee	ˈhaɪləθ
jaff	3.700000	mono	ˈdʒæf
jezoth	3.208333	iamb	dʒəˈzɑθ
jonnif	3.781250	trochee	ˈdʒɑnəf
juckith	4.300000	trochee	ˈdʒʌkəθ
kairif	3.375000	trochee	ˈkaɪɹəf
kalnith	3.363636	trochee	ˈkælnəθ
kanuth	4.444444	iamb	kəˈnuθ
kenath	3.933333	iamb	kəˈnɑθ
kerf	3.666667	mono	ˈkɝf
kezinf	3.468750	iamb	kəˈzɪnf
krath	4.105263	mono	ˈkɹæθ
kuth	3.866667	mono	ˈkʌθ
leeseth	3.937500	trochee	ˈlisəθ
lith	3.814815	mono	ˈlɪθ
lurbith	3.562500	trochee	ˈlɝbəθ
mafe	5.571429	mono	ˈmeɪf
melaif	5.521739	iamb	məˈleɪf
modith	3.120000	trochee	ˈmoʊdəθ
naboath	4.407407	iamb	nəˈboʊθ
nackith	3.425000	trochee	ˈnækəθ
nadulf	4.607143	iamb	nəˈdʌlf
nagith	3.321429	trochee	ˈneɪgəθ
nelgif	4.304348	trochee	ˈnɛlgəf
neshif	5.800000	iamb	nəˈʃɪf
niff	3.633333	mono	ˈnɪf
nitoaf	5.181818	iamb	nəˈtoʊf
nofe	4.928571	mono	ˈnoʊf
palth	4.875000	mono	ˈpælθ
parth	4.111111	mono	ˈpɑɹθ
payth	4.566667	mono	ˈpeɪθ
pelth	3.809524	mono	ˈpɛlθ
pernaff	5.064516	iamb	pɝˈnæf
petelf	5.619048	iamb	pəˈtɛlf
piedif	4.793103	trochee	ˈpidəf
pruth	4.026316	mono	ˈpɹʊθ
pydith	2.555556	trochee	ˈpaɪdəθ
quazuf	4.125000	iamb	kwəˈzʌf
querth	4.214286	mono	ˈkwɝθ
reecrith	3.777778	trochee	ˈɹikɹəθ
resteth	4.285714	iamb	ɹəsˈtɛθ
rideef	5.130435	iamb	ɹəˈdif
rilkuf	3.827586	trochee	ˈɹɪlkəf
ristilth	5.206897	iamb	ɹəsˈtɪlθ
rocith	4.333333	trochee	ˈɹoʊsəθ
rowf	5.153846	mono	ˈɹoʊf
ruveth	2.961538	trochee	ˈɹuvəθ
rylif	4.357143	trochee	ˈɹaɪləf
sailif	4.074074	trochee	ˈseɪləf
sakirth	4.400000	iamb	səˈkɝθ
saustith	4.346154	trochee	ˈsɑstəθ
sebife	5.258065	iamb	səˈbaɪf
sekloaf	5.823529	iamb	səkˈloʊf
senf	4.368421	mono	ˈsɛnf
sengith	3.551724	trochee	ˈsɛŋgɪθ
sepulth	4.833333	iamb	səˈpʌlθ
shaddef	3.851852	trochee	ˈʃædəf
shanurf	4.476190	iamb	ʃəˈnɝf
sheduth	3.848485	iamb	ʃəˈdʊθ
shekath	5.086957	iamb	ʃəˈkæθ
shenneth	3.464286	trochee	ˈʃɛnəθ
shestef	5.869565	trochee	ˈʃɛstəf
shilf	5.184211	mono	ˈʃɪlf
shryth	4.777778	mono	ˈʃɹaɪθ
shuttif	3.466667	trochee	ˈʃʌtəf
siltith	3.631579	trochee	ˈsɪltəθ
sisalth	5.250000	iamb	səˈsælθ
sistuth	3.628571	iamb	səsˈtʌθ
sketh	4.473684	mono	ˈskɛθ
smathe	4.838710	mono	ˈsmeɪθ
smof	4.954545	mono	ˈsmɑf
spailith	3.423077	trochee	ˈspeɪləθ
sterf	5.027027	mono	ˈstɝf
sternif	4.454545	trochee	ˈstɝnəf
stiroof	5.034483	iamb	stəˈɹʊf
stirth	3.241379	mono	ˈstɝθ
stookif	4.482759	trochee	ˈstʊkəf
suff	3.586207	mono	ˈsʌf
sulth	3.370370	mono	ˈsʌlθ
teraith	4.045455	iamb	təˈɹeɪθ
tinkafe	5.222222	iamb	tənˈkeɪf
tockif	4.346154	trochee	ˈtɑkəf
traloof	4.956522	iamb	tɹəˈluf
tulpith	3.458333	trochee	ˈtʌlpəθ
tuspith	3.520000	iamb	təsˈpɪθ
volif	4.322581	trochee	ˈvoʊləf
wageff	4.259259	iamb	wəˈgɛf
wath	4.125000	mono	ˈwɑθ
weebif	3.880000	trochee	ˈwibəf
wof	3.031250	mono	ˈwɑf
wooketh	3.583333	trochee	ˈwʊkəθ
wureef	5.413793	iamb	wəˈɹif
wurgith	2.310345	trochee	ˈwɝgəθ
yalmif	3.680000	trochee	ˈjælməf
yeff	4.222222	mono	ˈjɛf
yesturf	5.000000	iamb	jəsˈtɝf
younif	4.333333	trochee	ˈjunəf
zalf	5.086957	mono	ˈzælf
zife	5.105263	mono	ˈzaɪf
zikife	4.725000	iamb	zəˈkaɪf
zuzzeeth	3.928571	iamb	zəˈziθ
