item	voice	IPA
bafe	5.681818	beɪf
beeth	5.000000	biθ
bilth	4.235294	bɪlθ
brelowth	5.043478	bɹəloʊθ
brife	5.571429	bɹaɪf
brunlif	4.000000	bɹʌnləf
bunf	4.482759	bʌnf
buwalf	4.875000	bəwælf
chiddif	3.900000	tʃɪdəf
choath	4.892857	tʃoʊθ
chyth	5.208333	tʃaɪθ
cloof	5.060606	klʊf
craedef	4.969697	kɹeɪdəf
dackelth	4.681818	dəkɛlθ
deef	6.058824	dif
dipyth	4.592593	dəpaɪθ
doath	5.434783	doʊθ
doof	3.416667	duf
dweeth	5.263158	dwiθ
fiddith	2.620690	fɪdəθ
flodaf	4.440000	floʊdəf
genurth	4.240000	gənɝθ
gleef	5.187500	glif
glersif	4.208333	glɝsəf
glinof	4.615385	glənɑf
hareeth	4.590909	həɹiθ
hibof	4.789474	həbɑf
hilayth	5.205882	həleɪθ
hissyth	4.250000	həsaɪθ
hockith	2.962963	hɑkəθ
hooth	5.285714	huθ
hylith	3.903226	haɪləθ
jaff	3.700000	dʒæf
jezoth	3.208333	dʒəzɑθ
jonnif	3.781250	dʒɑnəf
juckith	4.300000	dʒʌkəθ
kairif	3.375000	kaɪɹəf
kalnith	3.363636	kælnəθ
kanuth	4.444444	kənuθ
kenath	3.933333	kənɑθ
kerf	3.666667	kɝf
kezinf	3.468750	kəzɪnf
krath	4.105263	kɹæθ
kuth	3.866667	kʌθ
leeseth	3.937500	lisəθ
lith	3.814815	lɪθ
lurbith	3.562500	lɝbəθ
mafe	5.571429	meɪf
melaif	5.521739	məleɪf
modith	3.120000	moʊdəθ
naboath	4.407407	nəboʊθ
nackith	3.425000	nækəθ
nadulf	4.607143	nədʌlf
nagith	3.321429	neɪgəθ
nelgif	4.304348	nɛlgəf
neshif	5.800000	nəʃɪf
niff	3.633333	nɪf
nitoaf	5.181818	nətoʊf
nofe	4.928571	noʊf
palth	4.875000	pælθ
parth	4.111111	pɑɹθ
payth	4.566667	peɪθ
pelth	3.809524	pɛlθ
pernaff	5.064516	pɝnæf
petelf	5.619048	pətɛlf
piedif	4.793103	pidəf
pruth	4.026316	pɹʊθ
pydith	2.555556	paɪdəθ
quazuf	4.125000	kwəzʌf
querth	4.214286	kwɝθ
reecrith	3.777778	ɹikɹəθ
resteth	4.285714	ɹəstɛθ
rideef	5.130435	ɹədif
rilkuf	3.827586	ɹɪlkəf
ristilth	5.206897	ɹəstɪlθ
rocith	4.333333	ɹoʊsəθ
rowf	5.153846	ɹoʊf
ruveth	2.961538	ɹuvəθ
rylif	4.357143	ɹaɪləf
sailif	4.074074	seɪləf
sakirth	4.400000	səkɝθ
saustith	4.346154	sɑstəθ
sebife	5.258065	səbaɪf
sekloaf	5.823529	səkloʊf
senf	4.368421	sɛnf
sengith	3.551724	sɛŋgɪθ
sepulth	4.833333	səpʌlθ
shaddef	3.851852	ʃædəf
shanurf	4.476190	ʃənɝf
sheduth	3.848485	ʃədʊθ
shekath	5.086957	ʃəkæθ
shenneth	3.464286	ʃɛnəθ
shestef	5.869565	ʃɛstəf
shilf	5.184211	ʃɪlf
shryth	4.777778	ʃɹaɪθ
shuttif	3.466667	ʃʌtəf
siltith	3.631579	sɪltəθ
sisalth	5.250000	səsælθ
sistuth	3.628571	səstʌθ
sketh	4.473684	skɛθ
smathe	4.838710	smeɪθ
smof	4.954545	smɑf
spailith	3.423077	speɪləθ
sterf	5.027027	stɝf
sternif	4.454545	stɝnəf
stiroof	5.034483	stəɹʊf
stirth	3.241379	stɝθ
stookif	4.482759	stʊkəf
suff	3.586207	sʌf
sulth	3.370370	sʌlθ
teraith	4.045455	təɹeɪθ
tinkafe	5.222222	tənkeɪf
tockif	4.346154	tɑkəf
traloof	4.956522	tɹəluf
tulpith	3.458333	tʌlpəθ
tuspith	3.520000	təspɪθ
volif	4.322581	voʊləf
wageff	4.259259	wəgɛf
wath	4.125000	wɑθ
weebif	3.880000	wibəf
wof	3.031250	wɑf
wooketh	3.583333	wʊkəθ
wureef	5.413793	wəɹif
wurgith	2.310345	wɝgəθ
yalmif	3.680000	jælməf
yeff	4.222222	jɛf
yesturf	5.000000	jəstɝf
younif	4.333333	junəf
zalf	5.086957	zælf
zife	5.105263	zaɪf
zikife	4.725000	zəkaɪf
zuzzeeth	3.928571	zəziθ
